Name,Team,Position,Height(inches),Weight(lbs),Age
Brad Eldred,PIT,First Baseman,77,245,26.63
Brad Halsey,OAK,Starting Pitcher,73,180,26.04
Brad Hawpe,COL,Outfielder,75,200,27.69
Brad Hennessey,SF,Relief Pitcher,74,185,27.06
Brad Lidge,HOU,Relief Pitcher,77,210,30.18
Brad Penny,LA,Starting Pitcher,76,250,28.77
Brad Salmon,CIN,Relief Pitcher,76,220,27.16
Brad Thompson,STL,Relief Pitcher,73,190,25.08
Brad Wilkerson,TEX,Outfielder,72,206,29.75
Braden Looper,STL,Relief Pitcher,75,220,32.34
Brady Clark,MLW,Outfielder,74,202,33.87
Brandon Backe,HOU,Starting Pitcher,72,180,28.9
Brandon Fahey,BAL,Outfielder,74,160,26.11
Brandon Inge,DET,Third Baseman,71,195,29.78
Brandon League,TOR,Relief Pitcher,75,192,23.96
Brandon Lyon,ARZ,Relief Pitcher,73,180,27.56
Brandon McCarthy,TEX,Starting Pitcher,79,190,23.65
Brandon Medders,ARZ,Relief Pitcher,73,191,27.09
Brandon Moss,BOS,Outfielder,72,180,23.46
Brandon Phillips,CIN,Second Baseman,71,185,25.67
Brandon Webb,ARZ,Starting Pitcher,74,228,27.81
Brayan Pena,ATL,Catcher,71,220,25.14
Brendan Donnelly,BOS,Relief Pitcher,75,240,35.66
Brendan Harris,TB,Second Baseman,73,200,26.51
Brent Clevlen,DET,Outfielder,74,190,23.34
Brett Campbell,WAS,Relief Pitcher,72,170,25.37
Brett Myers,PHI,Starting Pitcher,76,223,26.54
Brett Tomko,LA,Relief Pitcher,76,215,33.9
Brian Bannister,KC,Starting Pitcher,74,202,26
Brian Bruney,NYY,Relief Pitcher,75,226,25.03
Brian Burres,BAL,Relief Pitcher,73,182,25.89
Brian Fuentes,COL,Relief Pitcher,76,220,31.56
Brian Giles,SD,Outfielder,70,205,36.11
Brian Lawrence,COL,Starting Pitcher,72,197,30.8
Brian McCann,ATL,Catcher,75,210,23.03
Brian N. Anderson,CWS,Outfielder,74,205,24.97
Brian Roberts,BAL,Second Baseman,69,176,29.39
Brian Rogers,PIT,Relief Pitcher,76,190,24.62
Brian Sanches,PHI,Relief Pitcher,72,190,28.56
Brian Schneider,WAS,Catcher,73,196,30.26
Brian Shackelford,CIN,Relief Pitcher,73,195,30.5
Brian Shouse,MLW,Relief Pitcher,71,190,38.43
Brian Slocum,CLE,Relief Pitcher,76,200,25.93
Brian Stokes,TB,Starting Pitcher,73,200,27.48
Brian Tallet,TOR,Relief Pitcher,79,208,29.44
Brian Wilson,SF,Relief Pitcher,73,205,24.96
Bronson Arroyo,CIN,Starting Pitcher,77,190,30.01
Brooks Conrad,HOU,Second Baseman,71,190,27.12
Bryan Bullington,PIT,Relief Pitcher,76,222,26.41
Bubba Crosby,CIN,Outfielder,71,185,30.55
Buck Coats,CHC,Outfielder,75,195,24.73
Byung-Hyun Kim,COL,Starting Pitcher,69,180,28.11
C.C. Sabathia,CLE,Starting Pitcher,79,290,26.61
C.J. Wilson,TEX,Relief Pitcher,74,200,26.28
Carl Crawford,TB,Outfielder,74,219,25.57
Carl Pavano,NYY,Starting Pitcher,77,241,31.14
Carlos Beltran,NYM,Outfielder,73,190,29.85
Carlos Delgado,NYM,First Baseman,75,230,34.68
Carlos Guillen,DET,Shortstop,73,204,31.42
Carlos Lee,HOU,Outfielder,74,240,30.69
Carlos Marmol,CHC,Starting Pitcher,74,180,24.38
Carlos Martinez,FLA,Relief Pitcher,73,170,24.76
Carlos Quentin,ARZ,Outfielder,73,225,24.51
Carlos Ruiz,PHI,Catcher,72,170,28.1
Carlos Silva,MIN,Starting Pitcher,76,240,27.85
Carlos Villanueva,MLW,Starting Pitcher,74,190,23.26
Carlos Zambrano,CHC,Starting Pitcher,77,255,25.75
Casey Blake,CLE,Outfielder,74,210,33.52
Casey Fossum,TB,Starting Pitcher,73,160,29.14
Casey Janssen,TOR,Starting Pitcher,76,205,25.45
Casey Kotchman,ANA,First Baseman,75,210,24.02
Cesar Izturis,CHC,Third Baseman,69,175,27.05
Cesar Jimenez,SEA,Relief Pitcher,71,180,22.3
Cha Baek,SEA,Starting Pitcher,76,190,26.75
Chad Billingsley,LA,Starting Pitcher,72,244,22.59
Chad Bradford,BAL,Relief Pitcher,77,203,32.46
Chad Cordero,WAS,Relief Pitcher,72,198,24.95
Chad Durbin,DET,Relief Pitcher,74,200,29.24
Chad Gaudin,OAK,Relief Pitcher,71,165,23.94
Chad Moeller,CIN,Catcher,75,210,32.03
Chad Orvella,TB,Relief Pitcher,71,190,26.41
Chad Paronto,ATL,Relief Pitcher,77,250,31.59
Chad Qualls,HOU,Relief Pitcher,77,220,28.54
Chad Tracy,ARZ,Third Baseman,74,200,26.77
Chan Ho Park,NYM,Starting Pitcher,74,210,33.67
Charlie Haeger,CWS,Starting Pitcher,73,200,23.45
Charlton Jimerson,HOU,Outfielder,75,210,27.44
Chase Utley,PHI,Second Baseman,73,183,28.2
Chien-Ming Wang,NYY,Starting Pitcher,75,200,26.92
Chin-Hui Tsao,LA,Relief Pitcher,74,177,25.74
Chipper Jones,ATL,Third Baseman,76,210,34.85
Chone Figgins,ANA,Outfielder,68,160,29.1
Chris Booker,WAS,Relief Pitcher,75,230,30.22
Chris Britton,NYY,Relief Pitcher,75,278,24.21
Chris Burke,HOU,Second Baseman,71,180,26.97
Chris Capuano,MLW,Starting Pitcher,75,210,28.53
Chris Carpenter,STL,Starting Pitcher,78,230,31.84
Chris Coste,PHI,Catcher,73,200,34.07
Chris Denorfia,CIN,Outfielder,73,185,26.63
Chris Duffy,PIT,Outfielder,70,170,26.86
Chris Duncan,STL,Outfielder,77,210,25.82
Chris Gomez,BAL,First Baseman,73,188,35.71
Chris Heintz,MIN,Catcher,73,210,32.57
Chris Iannetta,COL,Catcher,71,195,23.9
Chris Narveson,STL,Relief Pitcher,75,205,25.19
Chris Ray,BAL,Relief Pitcher,75,200,25.13
Chris Reitsma,SEA,Relief Pitcher,77,235,29.16
Chris Resop,ANA,Relief Pitcher,75,222,24.32
Chris Roberson,PHI,Outfielder,74,180,27.52
Chris Sampson,HOU,Relief Pitcher,72,170,28.77
Chris Schroder,WAS,Relief Pitcher,75,210,28.53
Chris Shelton,DET,First Baseman,72,220,26.68
Chris Snelling,WAS,Outfielder,70,165,25.24
Chris Snyder,ARZ,Catcher,75,220,26.05
Chris Stewart,TEX,Catcher,76,205,25.03
Chris Woodward,ATL,Second Baseman,72,185,30.67
Chris Young,ARZ,Outfielder,74,180,23.49
Chris Young,SD,Starting Pitcher,82,250,27.77
Chuck James,ATL,Starting Pitcher,72,170,25.31
Cla Meredith,SD,Relief Pitcher,73,185,23.74
Claudio Vargas,MLW,Starting Pitcher,75,228,28.7
Clay Condrey,PHI,Relief Pitcher,75,195,31.28
Clay Hensley,SD,Starting Pitcher,71,190,27.5
Cliff Floyd,CHC,Outfielder,76,230,34.23
Cliff Lee,CLE,Starting Pitcher,75,190,28.5
Clint Barmes,COL,Shortstop,72,175,27.99
Coco Crisp,BOS,Outfielder,72,185,27.33
Cody Ross,FLA,Outfielder,71,180,26.18
Cole Hamels,PHI,Starting Pitcher,75,175,23.18
Conor Jackson,ARZ,First Baseman,74,225,24.82
Corey Hart,MLW,Outfielder,78,200,24.94
Corey Koskie,MLW,Third Baseman,75,219,33.67
Corey Patterson,BAL,Outfielder,69,180,27.55
Cory Sullivan,COL,Outfielder,72,180,27.53
Craig Biggio,HOU,Second Baseman,71,185,41.21
Craig Breslow,BOS,Relief Pitcher,73,180,26.56
Craig Counsell,MLW,Shortstop,72,184,36.53
Craig Hansen,BOS,Relief Pitcher,78,210,23.29
Craig Monroe,DET,Outfielder,73,220,30
Craig Wilson,ATL,First Baseman,74,220,30.25
Cristian Guzman,WAS,Shortstop,72,205,28.94
Curt Schilling,BOS,Starting Pitcher,77,235,40.29
Curtis Granderson,DET,Outfielder,73,185,25.96
Dallas McPherson,ANA,Third Baseman,76,230,26.6
Damaso Marte,PIT,Relief Pitcher,74,200,32.04
Damian Miller,MLW,Catcher,75,220,37.38
Damion Easley,NYM,Shortstop,71,190,37.3
Dan Haren,OAK,Starting Pitcher,77,220,26.45
Dan Johnson,OAK,First Baseman,74,220,27.56
Dan Miceli,TB,Relief Pitcher,72,215,36.47
Dan Uggla,FLA,Second Baseman,71,200,26.97
Dan Wheeler,HOU,Relief Pitcher,75,222,29.22
Dana Eveland,ARZ,Starting Pitcher,73,250,23.34
Daniel Cabrera,BAL,Starting Pitcher,79,230,25.76
Danny Sandoval,PHI,Second Baseman,71,192,27.9
Danys Baez,BAL,Relief Pitcher,75,225,29.47
Darin Erstad,CWS,Outfielder,74,210,32.74
Darrell Rasner,NYY,Starting Pitcher,75,210,26.13
Darren Oliver,ANA,Relief Pitcher,74,220,36.4
Daryle Ward,CHC,Outfielder,74,230,31.68
Dave Bush,MLW,Starting Pitcher,74,212,27.31
Dave Roberts,SF,Outfielder,70,180,34.75
Dave Williams,NYM,Starting Pitcher,74,219,27.97
David Aardsma,CWS,Relief Pitcher,77,200,25.17
David Borkowski,HOU,Relief Pitcher,73,200,30.06
David DeJesus,KC,Outfielder,72,175,27.2
David Dellucci,CLE,Outfielder,71,190,33.33
David Eckstein,STL,Shortstop,67,165,32.11
David Murphy,BOS,Outfielder,76,192,25.37
David Newhan,NYM,Outfielder,70,180,33.48
David Ortiz,BOS,Designated Hitter,76,230,31.28
David Riske,KC,Relief Pitcher,74,190,30.35
David Ross,CIN,Catcher,74,205,29.95
David Shafer,OAK,Starting Pitcher,74,180,24.98
David Weathers,CIN,Relief Pitcher,75,230,37.43
David Wright,NYM,Third Baseman,72,200,24.19
Davis Romero,TOR,Relief Pitcher,70,155,23.92
Delmon Young,TB,Outfielder,75,205,21.46
Delwyn Young,LA,Outfielder,68,209,24.67
Dennis Sarfate,MLW,Relief Pitcher,76,210,25.89
Denny Bautista,COL,Starting Pitcher,77,170,26.52
Dennys Reyes,MIN,Relief Pitcher,75,245,29.86
Derek Jeter,NYY,Shortstop,75,195,32.68
Derek Lowe,LA,Starting Pitcher,78,210,33.75
Derrek Lee,CHC,First Baseman,77,245,31.48
Derrick Turnbow,MLW,Relief Pitcher,75,210,29.1
Devern Hansack,BOS,Starting Pitcher,74,180,29.07
Dioner Navarro,TB,Catcher,70,190,23.06
Donald Murphy,OAK,Second Baseman,70,180,23.98
Dontrelle Willis,FLA,Starting Pitcher,76,239,25.13
Doug Brocail,SD,Relief Pitcher,77,235,39.79
Doug Davis,ARZ,Starting Pitcher,76,213,31.44
Doug Mientkiewicz,NYY,First Baseman,74,206,32.7
Doug Mirabelli,BOS,Catcher,73,220,36.37
Doug Slaten,ARZ,Relief Pitcher,77,200,27.07
Drew Anderson,MLW,Outfielder,74,195,25.72
Duaner Sanchez,NYM,Relief Pitcher,72,190,27.38
Dustin McGowan,TOR,Relief Pitcher,75,220,24.94
Dustin Moseley,ANA,Starting Pitcher,76,190,37.74
Dustin Pedroia,BOS,Second Baseman,69,180,23.54
Edgar Gonzalez,ARZ,Relief Pitcher,72,215,24.02
Edgar Renteria,ATL,Shortstop,73,200,31.56
Edinson Volquez,TEX,Starting Pitcher,73,190,23.66
Edward Campusano,DET,Relief Pitcher,76,170,24.63
Edward Mujica,CLE,Relief Pitcher,74,220,22.81
Edwin Encarnacion,CIN,Third Baseman,73,195,24.15
Edwin Jackson,TB,Starting Pitcher,75,190,23.47
Eliezer Alfonzo,SF,Catcher,72,223,28.06
Elijah Dukes,TB,Outfielder,74,220,22.68
Elizardo Ramirez,CIN,Starting Pitcher,72,180,24.09
Elmer Dessens,LA,Relief Pitcher,70,198,36.13
Emil Brown,KC,Outfielder,74,200,32.17
Emiliano Fruto,WAS,Relief Pitcher,75,235,22.73
Endy Chavez,NYM,Outfielder,70,189,29.06
Enrique Gonzalez,ARZ,Starting Pitcher,70,210,24.57
Eric Bruntlett,HOU,Second Baseman,72,190,28.92
Eric Byrnes,ARZ,Outfielder,74,210,31.04
Eric Chavez,OAK,Third Baseman,73,206,29.23
Eric Gagne,TEX,Relief Pitcher,74,234,31.15
Eric Hinske,BOS,Outfielder,74,235,29.57
Eric Milton,CIN,Starting Pitcher,75,208,31.57
Eric O'Flaherty,SEA,Relief Pitcher,74,195,22.06
Eric Reed,FLA,Outfielder,71,170,26.24
Eric Stults,LA,Relief Pitcher,72,215,27.23
Erick Aybar,ANA,Shortstop,70,170,23.13
Erik Bedard,BAL,Starting Pitcher,73,189,27.99
Ervin Santana,ANA,Starting Pitcher,74,160,24.14
Esteban German,KC,Second Baseman,69,165,29.09
Esteban Loaiza,OAK,Starting Pitcher,75,215,35.16
Eude Brito,PHI,Relief Pitcher,71,160,28.53
Ezequiel Astacio,HOU,Relief Pitcher,75,156,27.32
Fabio Castro,PHI,Relief Pitcher,68,150,22.11
Fausto Carmona,CLE,Relief Pitcher,76,220,23.23
Felipe Lopez,WAS,Shortstop,73,185,26.8
Felix Hernandez,SEA,Starting Pitcher,75,225,20.9
Fernando Cabrera,CLE,Relief Pitcher,76,170,25.29
Fernando Nieve,HOU,Starting Pitcher,72,195,24.63
Fernando Rodney,DET,Relief Pitcher,71,208,29.95
Francisco Cordero,MLW,Relief Pitcher,74,235,31.81
Francisco Cruceta,TEX,Relief Pitcher,74,180,25.66
Francisco Liriano,MIN,Starting Pitcher,74,185,23.35
Francisco Rodriguez,ANA,Relief Pitcher,72,185,25.14
Francisco Rosario,TOR,Relief Pitcher,72,197,26.42
Frank Catalanotto,TEX,Outfielder,71,195,32.84
Frank Francisco,TEX,Relief Pitcher,74,180,27.47
Frank Thomas,TOR,Designated Hitter,77,275,38.76
Franklin Gutierrez,CLE,Outfielder,74,175,24.02
Fred Lewis,SF,Outfielder,74,190,26.22
Freddie Bynum,BAL,Outfielder,73,180,26.96
Freddy Garcia,PHI,Starting Pitcher,76,240,31.72
Freddy Sanchez,PIT,Third Baseman,70,192,29.19
Gabe Gross,MLW,Outfielder,75,209,27.36
Garret Anderson,ANA,Outfielder,75,225,34.67
Garrett Atkins,COL,Third Baseman,75,210,27.22
Gary Bennett,STL,Catcher,72,208,34.87
Gary Majewski,CIN,Relief Pitcher,73,215,27.01
Gary Matthews Jr.,ANA,Outfielder,75,225,32.51
Gary Sheffield,DET,Outfielder,72,205,38.28
Gavin Floyd,CWS,Starting Pitcher,76,212,24.09
Geoff Blum,SD,Shortstop,75,200,33.85
Geoff Geary,PHI,Relief Pitcher,72,167,30.51
Geoff Jenkins,MLW,Outfielder,73,212,32.61
George Kottaras,BOS,Catcher,72,180,23.79
George Sherrill,SEA,Relief Pitcher,72,210,29.86
Geovany Soto,CHC,Catcher,73,195,24.11
Gerald Laird,TEX,Catcher,74,220,27.3
Gil Meche,KC,Starting Pitcher,75,200,28.48
Glen Perkins,MIN,Relief Pitcher,71,200,24
Grady Sizemore,CLE,Outfielder,74,200,24.58
Grant Balfour,MLW,Relief Pitcher,74,188,29.17
Greg Aquino,MLW,Relief Pitcher,73,188,29.13
Greg Dobbs,PHI,Designated Hitter,73,205,28.66
Greg Jones,ANA,Relief Pitcher,74,195,30.29
Greg Maddux,SD,Starting Pitcher,72,185,40.88
Greg Norton,TB,Outfielder,73,200,34.65
Gregg Zaun,TOR,Catcher,70,190,35.88
Guillermo Mota,NYM,Relief Pitcher,76,205,33.6
Guillermo Quiroz,TEX,Catcher,73,202,25.25
Gustavo Chacin,TOR,Starting Pitcher,71,193,26.24
Hank Blalock,TEX,Third Baseman,73,200,26.27
Hanley Ramirez,FLA,Shortstop,75,195,23.19
Hayden Penn,BAL,Starting Pitcher,75,185,22.38
Heath Bell,SD,Relief Pitcher,74,244,29.42
Heath Phillips,CWS,Starting Pitcher,75,200,24.94
Hector Carrasco,ANA,Relief Pitcher,74,220,37.36
Hector Gimenez,HOU,Catcher,70,180,24.42
Hector Luna,CLE,Second Baseman,73,170,27.08
Henry Blanco,CHC,Catcher,71,224,35.5
Henry Owens,FLA,Relief Pitcher,75,230,27.85
Hideki Matsui,NYY,Outfielder,74,230,32.72
Hideki Okajima,BOS,Relief Pitcher,73,194,31.18
Hong-Chih Kuo,LA,Relief Pitcher,72,200,25.6
Horacio Ramirez,SEA,Starting Pitcher,73,219,27.27
Howie Kendrick,ANA,First Baseman,70,180,23.64
Humberto Cota,PIT,Catcher,72,210,28.06
Humberto Quintero,HOU,Catcher,73,190,27.56
Humberto Sanchez,NYY,Starting Pitcher,78,230,23.76
Huston Street,OAK,Relief Pitcher,72,190,23.58
Ian Kinsler,TEX,Second Baseman,72,175,24.69
Ian Snell,PIT,Starting Pitcher,71,170,25.33
Ichiro Suzuki,SEA,Outfielder,69,172,33.36
Ivan Rodriguez,DET,Catcher,69,218,35.25
J.C. Romero,BOS,Relief Pitcher,71,198,30.74
J.D. Closser,MLW,Catcher,70,176,27.12
J.D. Drew,BOS,Outfielder,73,200,31.28
J.J. Hardy,MLW,Shortstop,74,180,24.53
J.J. Putz,SEA,Relief Pitcher,77,220,30.02
J.P. Howell,TB,Starting Pitcher,72,175,23.85
Jack Cust,SD,Outfielder,73,231,28.12
Jack Taschner,SF,Relief Pitcher,75,207,28.86
Jack Wilson,PIT,Shortstop,72,192,29.17
Jacque Jones,CHC,Outfielder,70,195,31.85
Jae Seo,TB,Starting Pitcher,73,215,29.77
Jae-Kuk Ryu,TB,Relief Pitcher,75,220,23.75
Jake Peavy,SD,Starting Pitcher,73,180,25.75
Jake Westbrook,CLE,Starting Pitcher,75,185,29.42
Jake Woods,SEA,Relief Pitcher,73,190,25.49
James Hoey,BAL,Relief Pitcher,78,200,24.17
James Loney,LA,First Baseman,75,200,22.81
James Shields,TB,Starting Pitcher,76,214,25.19
Jamey Carroll,COL,Second Baseman,69,170,33.03
Jamie Moyer,PHI,Starting Pitcher,72,175,44.28
Jamie Walker,BAL,Relief Pitcher,74,195,35.67
Jared Burton,CIN,Relief Pitcher,77,220,25.74
Jaret Wright,BAL,Starting Pitcher,74,230,31.17
Jarrod Washburn,SEA,Starting Pitcher,73,195,32.55
Jason Bartlett,MIN,Shortstop,72,180,27.33
Jason Bay,PIT,Outfielder,74,200,28.44
Jason Bergmann,WAS,Relief Pitcher,76,190,25.43
Jason Botts,TEX,Designated Hitter,77,250,26.6
Jason Davis,CLE,Relief Pitcher,78,210,26.81
Jason Ellison,SF,Outfielder,70,180,28.91
Jason Frasor,TOR,Relief Pitcher,70,170,29.56
Jason Giambi,NYY,Designated Hitter,75,230,36.14
Jason Grilli,DET,Relief Pitcher,77,210,30.3
Jason Hammel,TB,Starting Pitcher,78,200,24.49
Jason Hirsh,COL,Starting Pitcher,80,250,25.02
Jason Isringhausen,STL,Relief Pitcher,75,230,34.48
Jason Jennings,HOU,Starting Pitcher,74,245,28.62
Jason Kendall,OAK,Catcher,72,195,32.68
Jason Kubel,MIN,Outfielder,71,200,24.77
Jason LaRue,KC,Catcher,71,200,32.95
Jason Lane,HOU,Outfielder,74,220,30.19
Jason Marquis,CHC,Starting Pitcher,73,210,28.53
Jason Michaels,CLE,Outfielder,72,204,30.82
Jason Phillips,TOR,Catcher,73,177,30.42
Jason Repko,LA,Outfielder,71,175,26.17
Jason Schmidt,LA,Starting Pitcher,77,205,34.08
Jason Smith,TOR,Second Baseman,75,199,29.6
Jason Tyner,MIN,Outfielder,73,160,29.85
Jason Vargas,NYM,Relief Pitcher,72,215,24.07
Jason Varitek,BOS,Catcher,74,230,34.89
Jason Windsor,OAK,Starting Pitcher,74,233,24.62
Javier Lopez,BOS,Relief Pitcher,76,200,29.64
Javier Valentin,CIN,Catcher,70,192,31.45
Javier Vazquez,CWS,Starting Pitcher,74,205,30.6
Javy Lopez,COL,Designated Hitter,75,224,36.32
Jay Gibbons,BAL,Designated Hitter,72,197,30
Jay Marshall,OAK,Relief Pitcher,77,185,24.01
Jay Payton,BAL,Outfielder,70,185,34.27
Jay Witasick,OAK,Relief Pitcher,76,235,34.51
Jayson Werth,PHI,Outfielder,77,215,27.78
Jean Machi,TOR,Relief Pitcher,72,160,24.08
Jeff Baker,COL,Outfielder,74,210,25.69
Jeff Cirillo,MIN,Third Baseman,73,200,37.43
Jeff Conine,CIN,Outfielder,73,220,40.68
Jeff DaVanon,ARZ,Outfielder,72,200,33.23
Jeff Fiorentino,BAL,Outfielder,73,188,23.88
Jeff Francis,COL,Starting Pitcher,77,200,26.14
Jeff Francoeur,ATL,Outfielder,76,220,23.14
Jeff Karstens,NYY,Starting Pitcher,75,175,24.43
Jeff Kent,LA,Second Baseman,73,210,38.98
Jeff Keppinger,CIN,Third Baseman,72,180,26.86
Jeff Mathis,ANA,Catcher,72,180,23.92
Jeff Ridgway,TB,Relief Pitcher,75,180,26.54
Jeff Salazar,COL,Outfielder,72,180,26.26
Jeff Suppan,MLW,Starting Pitcher,74,220,32.16
Jeff Weaver,SEA,Starting Pitcher,77,200,30.52
Jered Weaver,ANA,Starting Pitcher,79,205,24.41
Jeremy Accardo,TOR,Relief Pitcher,74,190,25.23
Jeremy Affeldt,COL,Relief Pitcher,76,215,27.73
Jeremy Bonderman,DET,Starting Pitcher,74,210,24.34
Jeremy Brown,OAK,Designated Hitter,70,226,27.35
Jeremy Guthrie,BAL,Relief Pitcher,73,200,27.9
Jeremy Hermida,FLA,Outfielder,76,200,23.08
Jeremy Reed,SEA,Outfielder,72,185,25.71
Jeremy Sowers,CLE,Starting Pitcher,73,175,23.79
Jermaine Dye,CWS,Outfielder,77,220,33.09
Jerome Williams,WAS,Relief Pitcher,75,246,25.24
Jerry Owens,CWS,Designated Hitter,75,195,26.03
Jesse Crain,MIN,Relief Pitcher,73,205,25.65
Jesus Flores,WAS,Catcher,73,180,22.34
Jhonny Peralta,CLE,Shortstop,73,185,24.76
Jim Ed Warden,PHI,Relief Pitcher,79,190,27.82
Jim Edmonds,STL,Outfielder,73,212,36.68
Jim Thome,CWS,Designated Hitter,76,244,36.51
Jimmy Gobble,KC,Relief Pitcher,75,190,25.62
Jimmy Rollins,PHI,Shortstop,68,167,28.26
Joakim Soria,KC,Relief Pitcher,75,185,22.78
Joaquin Arias,TEX,Shortstop,73,160,22.44
Joaquin Benoit,TEX,Relief Pitcher,75,220,29.6
Jody Gerut,PIT,Outfielder,72,190,29.45
Joe Beimel,LA,Relief Pitcher,75,217,29.86
